id,temp,x,y,z
0,925.08273132081,0,100,0
1,934.19442171311,1,100,0
2,943.8205896856,2,100,0
3,953.68423674014,3,100,0
4,963.83320451734,4,100,0
5,974.21512095766,5,100,0
6,984.81047632205,6,100,0
7,995.58566226629,7,100,0
8,1006.5124246767,8,100,0
9,1017.5610508733,9,100,0
10,1028.7051002891,10,100,0
11,1039.9198577739,11,100,0
12,1051.1832358635,12,100,0
13,1062.4749838152,13,100,0
14,1073.7765444015,14,100,0
15,1085.0704854097,15,100,0
16,1096.3401250574,16,100,0
17,1107.5690835305,17,100,0
18,1118.7409356239,18,100,0
19,1129.8389190774,19,100,0
20,1140.8457526199,20,100,0
21,1151.7435572354,21,100,0
22,1162.5138850901,22,100,0
23,1173.137839841,23,100,0
24,1183.5962692403,24,100,0
25,1193.8700061607,25,100,0
26,1203.9401356857,26,100,0
27,1213.7882690932,27,100,0
28,1223.3968094234,28,100,0
29,1232.7491965138,29,100,0
30,1241.8301216904,30,100,0
31,1250.6257043686,31,100,0
32,1259.1236254507,32,100,0
33,1267.3132159311,33,100,0
34,1275.1855029861,34,100,0
35,1282.7332190228,35,100,0
36,1289.9507807737,36,100,0
37,1296.8342452123,37,100,0
38,1303.381247354,38,100,0
39,1309.5909231136,39,100,0
40,1315.463818962,40,100,0
41,1321.0017899581,41,100,0
42,1326.2078884438,42,100,0
43,1331.0862467134,43,100,0
44,1335.6419576349,44,100,0
45,1339.8809570644,45,100,0
46,1343.8099109861,46,100,0
47,1347.436109023,47,100,0
48,1350.7673647632,48,100,0
49,1353.8119225904,49,100,0
50,1356.5783704891,50,100,0
51,1359.0755585163,51,100,0
52,1361.3125230237,52,100,0
53,1363.2984170194,53,100,0
54,1365.0424471124,54,100,0
55,1366.5538173089,55,100,0
56,1367.8416796258,56,100,0
57,1368.9150911939,57,100,0
58,1369.7829772844,58,100,0
59,1370.4540996304,59,100,0
60,1370.9370294465,60,100,0
61,1371.2401246422,61,100,0
62,1371.3715108803,62,100,0
63,1371.3390661933,63,100,0
64,1371.1504089051,64,100,0
65,1370.8128886022,65,100,0
66,1370.333579875,66,100,0
67,1369.7192785217,67,100,0
68,1368.976499904,68,100,0
69,1368.1114791501,69,100,0
70,1367.1301729313,70,100,0
71,1366.0382625716,71,100,0
72,1364.8411582877,72,100,0
73,1363.5440043845,73,100,0
74,1362.1516852568,74,100,0
75,1360.6688320584,75,100,0
76,1359.0998299235,76,100,0
77,1357.4488256317,77,100,0
78,1355.7197355974,78,100,0
79,1353.9162541074,79,100,0
80,1352.0418617191,80,100,0
81,1350.0998337488,81,100,0
82,1348.0932487903,82,100,0
83,1346.0249972121,83,100,0
84,1343.8977895928,84,100,0
85,1341.714165059,85,100,0
86,1339.4764994965,86,100,0
87,1337.187013616,87,100,0
88,1334.847780855,88,100,0
89,1332.4607350917,89,100,0
90,1330.027678169,90,100,0
91,1327.5502872195,91,100,0
92,1325.0301217839,92,100,0
93,1322.4686307209,93,100,0
94,1319.8671589085,94,100,0
95,1317.2269537394,95,100,0
96,1314.5491714082,96,100,0
97,1311.8348829952,97,100,0
98,1309.0850803534,98,100,0
99,1306.3006818025,99,100,0
100,1303.4825376359,100,100,0
101,1300.6314354451,101,100,0
102,1297.7481052723,102,100,0
103,1294.8332245965,103,100,0
104,1291.8874231522,104,100,0
105,1288.9112875945,105,100,0
106,1285.9053660141,106,100,0
107,1282.8701723073,107,100,0
108,1279.8061904067,108,100,0
109,1276.7138783754,109,100,0
110,1273.5936723666,110,100,0
111,1270.4459904568,111,100,0
112,1267.2712363558,112,100,0
113,1264.0698029807,113,100,0
114,1260.8420759075,114,100,0
115,1257.588436694,115,100,0
116,1254.3092660721,116,100,0
117,1251.0049470059,117,100,0
118,1247.67586761,118,100,0
119,1244.3224239217,119,100,0
120,1240.9450225189,120,100,0
121,1237.5440829739,121,100,0
122,1234.1200401325,122,100,0
123,1230.6733462052,123,100,0
124,1227.2044726527,124,100,0
125,1223.7139118599,125,100,0
126,1220.2021785771,126,100,0
127,1216.6698110981,127,100,0
128,1213.1173721624,128,100,0
129,1209.5454495608,129,100,0
130,1205.9546564104,130,100,0
131,1202.3456310691,131,100,0
132,1198.7190366553,132,100,0
133,1195.0755601391,133,100,0
134,1191.4159109754,134,100,0
135,1187.7408192599,135,100,0
136,1184.0510334091,136,100,0
137,1180.3473173829,137,100,0
138,1176.6304474577,138,100,0
139,1172.9012085654,139,100,0
140,1169.1603901555,140,100,0
141,1165.4087814659,141,100,0
142,1161.647166023,142,100,0
143,1157.8763151895,143,100,0
144,1154.0969807375,144,100,0
145,1150.3098867351,145,100,0
146,1146.5157214565,146,100,0
147,1142.7151303322,147,100,0
148,1138.9087108216,148,100,0
149,1135.097009271,149,100,0
150,1131.2805183864,150,100,0
151,1127.4596725706,151,100,0
152,1123.6348382118,152,100,0
153,1119.8062982388,153,100,0
154,1115.9742349896,154,100,0
155,1112.1387208353,155,100,0
156,1108.2997282437,156,100,0
157,1104.457165884,157,100,0
158,1100.6109337469,158,100,0
159,1096.7609729322,159,100,0
160,1092.9072760013,160,100,0
161,1089.0498343353,161,100,0
162,1085.1885345452,162,100,0
163,1081.323064569,163,100,0
164,1077.4529216916,164,100,0
165,1073.5775953524,165,100,0
166,1069.6969132543,166,100,0
167,1065.8114178827,167,100,0
168,1061.9225519542,168,100,0
169,1058.0324549226,169,100,0
170,1054.1433425686,170,100,0
171,1050.2567022771,171,100,0
172,1046.3727465106,172,100,0
173,1042.4905673525,173,100,0
174,1038.6091537206,174,100,0
175,1034.7289610236,175,100,0
176,1030.8533010704,176,100,0
177,1026.98871839,177,100,0
178,1023.1438719594,178,100,0
179,1019.3271354223,179,100,0
180,1015.5438309449,180,100,0
181,1011.7943362974,181,100,0
182,1008.0740322113,182,100,0
183,1004.3752717651,183,100,0
184,1000.6906126945,184,100,0
185,997.01590231433,185,100,0
186,993.35174402087,186,100,0
187,989.70241239873,187,100,0
188,986.0721503907,188,100,0
189,982.45958316855,189,100,0
190,978.85141716988,190,100,0
191,975.2165940834,191,100,0
192,971.50179648272,192,100,0
193,967.62878521082,193,100,0
194,963.49323869247,194,100,0
195,958.96324371898,195,100,0
196,953.87561822586,196,100,0
197,948.03845960807,197,100,0
198,941.28117945993,198,100,0
199,933.48346766161,199,100,0
200,925.08603463092,200,100,0
