group1,group2,group3,group4,group5,group6,id,x,y,z
20078321952880,64766921540557,85989841595620,64092747150252,50237300949663,14297894879270,0,100,0,0
23707233789271,82257478053860,1.2345801227559e+14,86136484652738,68077782939875,19821248138344,1,100,1,0
27450639205850,99732339605266,1.6031489047488e+14,1.0822108653101e+14,85852945794511,25306940537069,2,100,2,0
31289064422461,1.1719030975324e+14,1.9662303932619e+14,1.3030966886173e+14,1.0356069143576e+14,30756411541077,3,100,3,0
35205655808379,1.3462846532943e+14,2.324358020851e+14,1.5237201377631e+14,1.2119791977367e+14,36170716386760,4,100,4,0
39185872917064,1.5204286414016e+14,2.6779889241485e+14,1.7438373798667e+14,1.3876112285764e+14,41550665369966,5,100,5,0
43217098483886,1.6942856817272e+14,3.0275079261691e+14,1.9632484734397e+14,1.5624632419025e+14,46896766253297,6,100,6,0
47288359381515,1.8677990085737e+14,3.3732362715023e+14,2.1817887153101e+14,1.7364924587168e+14,52209261155585,7,100,7,0
51390071641626,2.0409058493952e+14,3.7154379667368e+14,2.3993206826776e+14,1.9096535808237e+14,57488138647246,8,100,8,0
55513783802742,2.2135369017184e+14,4.0543222270627e+14,2.6157257526981e+14,2.0818974289057e+14,62733096895593,9,100,9,0
59652189060823,2.3856252678042e+14,4.3900657600095e+14,2.8309089970118e+14,2.2531794775564e+14,67943817902015,10,100,10,0
63798906112131,2.5571044625214e+14,4.7228117899586e+14,3.0447914882775e+14,2.42345710388e+14,73119894296892,11,100,11,0
67948336224062,2.727908511949e+14,5.0526734483068e+14,3.257306309777e+14,2.592689125832e+14,78260829251610,12,100,12,0
72095556842208,2.8979726159539e+14,5.379738174097e+14,3.4683961178243e+14,2.7608360122594e+14,83366057704020,13,100,13,0
76236140337645,3.0672297802587e+14,5.7040644156301e+14,3.6780065456974e+14,2.9278562915508e+14,88434856794429,14,100,14,0
80366193314513,3.2356162247938e+14,6.0256944731769e+14,3.8860907100202e+14,3.0937114564502e+14,93466499110076,15,100,15,0
84482327561589,3.4030732398805e+14,6.3446602797584e+14,4.0926098635928e+14,3.2583674795348e+14,98460310894762,16,100,16,0
88581536047434,3.5695445037402e+14,6.6609806180609e+14,4.2975289794449e+14,3.4217920347597e+14,1.0341560387044e+14,17,100,17,0
92661142801917,3.7349761575112e+14,6.9746632730278e+14,4.5008159416724e+14,3.5839544122375e+14,1.0833168289713e+14,18,100,18,0
96718755217969,3.8993166535079e+14,7.2857065503267e+14,4.7024406902633e+14,3.7448252460311e+14,1.1320784668144e+14,19,100,19,0
1.007521323738e+14,4.0625131176911e+14,7.5940938520208e+14,4.9023701641414e+14,3.9043727749831e+14,1.1804328212983e+14,20,100,20,0
1.0475932120856e+14,4.2245178039715e+14,7.8998074823956e+14,5.1005759700843e+14,4.0625692065172e+14,1.2283726999365e+14,21,100,21,0
1.0873859749486e+14,4.3852867867152e+14,8.2028275202701e+14,5.2970326175163e+14,4.2193894120821e+14,1.2758914701973e+14,22,100,22,0
1.1268840335874e+14,4.5447783893834e+14,8.5031299673797e+14,5.4917154502881e+14,4.3748093515721e+14,1.3229826198222e+14,23,100,23,0
1.1660732622359e+14,4.7029530757299e+14,8.8006875716801e+14,5.6846004643527e+14,4.5288059716322e+14,1.3696397679452e+14,24,100,24,0
1.2049408047954e+14,4.8597733319141e+14,9.0954705162291e+14,5.8756641668144e+14,4.681357108535e+14,1.4158566706444e+14,25,100,25,0
1.2434744531006e+14,5.0152016189507e+14,9.3874433898316e+14,6.0648811178677e+14,4.832439558589e+14,1.4616266675836e+14,26,100,26,0
1.2816626978708e+14,5.1692010141097e+14,9.6765671420126e+14,6.2522249028096e+14,4.9820297850495e+14,1.5069429013959e+14,27,100,27,0
1.3194956730655e+14,5.321739530118e+14,9.9628077787822e+14,6.4376734593705e+14,5.1301080664965e+14,1.5517995928935e+14,28,100,28,0
1.3569642557195e+14,5.4727867023036e+14,1.0246130496202e+15,6.6212049379113e+14,5.2766552438263e+14,1.5961910861149e+14,29,100,29,0
1.3940599719999e+14,5.6223134658293e+14,1.0526499933999e+15,6.8027976625083e+14,5.4216526506057e+14,1.6401118392592e+14,30,100,30,0
1.4307749150554e+14,5.7702920382596e+14,1.0803880379146e+15,6.9824301015201e+14,5.5650820503141e+14,1.6835564150505e+14,31,100,31,0
1.4671016730811e+14,5.9166958078749e+14,1.1078235926965e+15,7.160080845072e+14,5.706925579842e+14,1.7265194707914e+14,32,100,32,0
1.5030332137712e+14,6.0614990195281e+14,1.1349530218518e+15,7.3357283392447e+14,5.8471654925925e+14,1.7689956865739e+14,33,100,33,0
1.5385622682133e+14,6.2046744437592e+14,1.1617722423586e+15,7.5093482173802e+14,5.9857818969946e+14,1.8109790963249e+14,34,100,34,0
