id,temp,x,y,z
0,928.38058629782,0,100,0
1,935.500293735,1,100,0
2,940.38753476579,2,100,0
3,947.03973987403,3,100,0
4,957.0555830362,4,100,0
5,970.10732490316,5,100,0
6,985.06385414864,6,100,0
7,1000.8938006095,7,100,0
8,1016.8469163235,8,100,0
9,1032.4594557152,9,100,0
10,1047.4630195624,10,100,0
11,1061.724116956,11,100,0
12,1075.1899129483,12,100,0
13,1087.8577325109,13,100,0
14,1099.7525624285,14,100,0
15,1110.9146466258,15,100,0
16,1121.3910777555,16,100,0
17,1131.2310945845,17,100,0
18,1140.4831038781,18,100,0
19,1149.1931110073,19,100,0
20,1157.4038674348,20,100,0
21,1165.1545450762,21,100,0
22,1172.4806629414,22,100,0
23,1179.4141942693,23,100,0
24,1185.9837868887,24,100,0
25,1192.2150271029,25,100,0
26,1198.1307280285,26,100,0
27,1203.751218354,27,100,0
28,1209.0946310013,28,100,0
29,1214.1771640519,29,100,0
30,1219.01331155,30,100,0
31,1223.6160734779,31,100,0
32,1227.997140241,32,100,0
33,1232.167053066,33,100,0
34,1236.1353426891,34,100,0
35,1239.910648526,35,100,0
36,1243.5008196697,36,100,0
37,1246.9130003582,37,100,0
38,1250.1537033532,38,100,0
39,1253.2288752238,39,100,0
40,1256.1439601034,40,100,0
41,1258.9039429728,41,100,0
42,1261.5133958651,42,100,0
43,1263.9765132047,43,100,0
44,1266.2971311863,44,100,0
45,1268.4787021038,45,100,0
46,1270.5242692258,46,100,0
47,1272.4368233751,47,100,0
48,1274.2196804729,48,100,0
49,1275.8759079666,49,100,0
50,1277.40791413,50,100,0
51,1278.8179165429,51,100,0
52,1280.1082211769,52,100,0
53,1281.2811975792,53,100,0
54,1282.3392459691,54,100,0
55,1283.2848053584,55,100,0
56,1284.1203789584,56,100,0
57,1284.8485635626,57,100,0
58,1285.4720800449,58,100,0
59,1285.9938027807,59,100,0
60,1286.4167828433,60,100,0
61,1286.7442640844,61,100,0
62,1286.9796970998,62,100,0
63,1287.1267530896,63,100,0
64,1287.1893347046,64,100,0
65,1287.1715819104,65,100,0
66,1287.0778735152,66,100,0
67,1286.9128249241,67,100,0
68,1286.6812810005,68,100,0
69,1286.3883044763,69,100,0
70,1286.039164226,70,100,0
71,1285.639323974,71,100,0
72,1285.1944241051,72,100,0
73,1284.7102535804,73,100,0
74,1284.1927202278,74,100,0
75,1283.6478270679,75,100,0
76,1283.0816526526,76,100,0
77,1282.5003296188,77,100,0
78,1281.9100237878,78,100,0
79,1281.316922141,79,100,0
80,1280.7272294905,80,100,0
81,1280.1471636693,81,100,0
82,1279.5829427349,82,100,0
83,1279.0407975913,83,100,0
84,1278.5269688529,84,100,0
85,1278.0477948648,85,100,0
86,1277.6096532768,86,100,0
87,1277.2192670582,87,100,0
88,1276.8833405142,88,100,0
89,1276.6094924116,89,100,0
90,1276.4048604425,90,100,0
91,1276.2789486489,91,100,0
92,1276.2391975811,92,100,0
93,1276.2988993689,93,100,0
94,1276.4642650404,94,100,0
95,1276.7550991939,95,100,0
96,1277.1688235719,96,100,0
97,1277.7324436578,97,100,0
98,1278.3954608643,98,100,0
99,1279.1596419924,99,100,0
100,1279.5736066774,100,100,0
101,1279.1596409593,101,100,0
102,1278.3954598342,102,100,0
103,1277.732442783,103,100,0
104,1277.168822861,104,100,0
105,1276.7550986701,105,100,0
106,1276.4642646571,106,100,0
107,1276.2988991271,107,100,0
108,1276.2391974409,108,100,0
109,1276.2789486077,109,100,0
110,1276.4048604731,110,100,0
111,1276.6094925066,111,100,0
112,1276.8833406568,112,100,0
113,1277.2192672412,113,100,0
114,1277.6096534883,114,100,0
115,1278.0477950969,115,100,0
116,1278.5269690955,116,100,0
117,1279.0407978368,117,100,0
118,1279.5829429766,118,100,0
119,1280.1471639017,119,100,0
120,1280.7272297079,120,100,0
121,1281.316922338,121,100,0
122,1281.9100239592,122,100,0
123,1282.5003297605,123,100,0
124,1283.0816527604,124,100,0
125,1283.647827138,125,100,0
126,1284.1927202569,126,100,0
127,1284.7102535663,127,100,0
128,1285.1944240458,128,100,0
129,1285.639323868,129,100,0
130,1286.0391640718,130,100,0
131,1286.388304273,131,100,0
132,1286.6812807477,132,100,0
133,1286.9128246213,133,100,0
134,1287.0778731628,134,100,0
135,1287.1715815092,135,100,0
136,1287.1893342557,136,100,0
137,1287.1267525943,137,100,0
138,1286.9796965597,138,100,0
139,1286.7442635008,139,100,0
140,1286.4167822181,140,100,0
141,1285.9938021159,141,100,0
142,1285.4720793425,142,100,0
143,1284.8485628242,143,100,0
144,1284.1203781857,144,100,0
145,1283.2848045536,145,100,0
146,1282.339245135,146,100,0
147,1281.2811967183,147,100,0
148,1280.1082202912,148,100,0
149,1278.8179156341,149,100,0
150,1277.4079131995,150,100,0
151,1275.8759070161,151,100,0
152,1274.219679504,152,100,0
153,1272.4368223892,153,100,0
154,1270.5242682242,154,100,0
155,1268.4787010874,155,100,0
156,1266.2971301561,156,100,0
157,1263.9765121614,157,100,0
158,1261.5133948096,158,100,0
159,1258.9039419069,159,100,0
160,1256.1439590295,160,100,0
161,1253.2288741439,161,100,0
162,1250.1537022683,162,100,0
163,1246.9129992681,163,100,0
164,1243.5008185753,164,100,0
165,1239.9106474292,165,100,0
166,1236.1353415922,166,100,0
167,1232.1670519704,167,100,0
168,1227.9971391474,168,100,0
169,1223.6160723875,169,100,0
170,1219.0133104642,170,100,0
171,1214.1771629729,171,100,0
172,1209.0946299313,172,100,0
173,1203.7512172946,173,100,0
174,1198.1307269807,174,100,0
175,1192.2150260674,175,100,0
176,1185.9837858661,176,100,0
177,1179.4141932599,177,100,0
178,1172.4806619452,178,100,0
179,1165.1545440933,179,100,0
180,1157.4038664653,180,100,0
181,1149.193110051,181,100,0
182,1140.4831029342,182,100,0
183,1131.2310936516,183,100,0
184,1121.3910768313,184,100,0
185,1110.9146457082,185,100,0
186,1099.7525615163,186,100,0
187,1087.8577316031,187,100,0
188,1075.1899120427,188,100,0
189,1061.7241160503,189,100,0
190,1047.4630186555,190,100,0
191,1032.4594548078,191,100,0
192,1016.8469154176,192,100,0
193,1000.8937997081,193,100,0
194,985.06385325876,194,100,0
195,970.10732403785,195,100,0
196,957.05558221321,196,100,0
197,947.0397391144,197,100,0
198,940.38753408723,198,100,0
199,935.50029316322,199,100,0
200,928.38058589282,200,100,0
