time,group1max,group1norm,group2max,group2norm,memory,powernorm,tot_fissions
0,0,0,0,0,157114,0,0
0.1,2.7727826537959e+14,4.9020847008705e+18,1.1175629390812e+15,1.9729772776265e+19,176239,10001221.707705,3.0903068014614e+17
0.2,2.7733069604732e+14,4.9029923923746e+18,1.1177739177653e+15,1.9733418022878e+19,178250,10003135.963072,3.0908982928363e+17
0.3,2.7740643764092e+14,4.9043070982958e+18,1.1180787090772e+15,1.9738698023078e+19,178598,10005904.904819,3.0917538762605e+17
0.4,2.775069877851e+14,4.9060552337872e+18,1.1184833461695e+15,1.9745718976537e+19,178747,10009583.118359,3.0928904182401e+17
0.5,2.776324295277e+14,4.9082385484326e+18,1.1189881697193e+15,1.9754488021691e+19,178974,10014173.317782,3.0943087574101e+17
0.6,2.7778232598198e+14,4.9108497157872e+18,1.11959142764e+15,1.9764975838659e+19,179022,10019659.196237,3.0960038550691e+17
0.7,2.7795603126753e+14,4.9138777512186e+18,1.1202905262085e+15,1.9777138405698e+19,179259,10026016.834511,3.0979683203487e+17
0.8,2.7815280076557e+14,4.9173099328115e+18,1.1210824737486e+15,1.97909247138e+19,179450,10033218.740928,3.1001936585157e+17
0.9,2.7837183189372e+14,4.9211325116781e+18,1.1219640447515e+15,1.9806279619911e+19,179492,10041235.341723,3.102670731486e+17
1,2.7861228211928e+14,4.9253310255579e+18,1.1229318524284e+15,1.9823145107277e+19,179572,10050035.634981,3.1053899598869e+17
1.1,2.7887327970915e+14,4.9298904862216e+18,1.1239823920189e+15,1.9841461038722e+19,179775,10059587.577552,3.1083414426113e+17
1.2,2.7915392706171e+14,4.9347954383277e+18,1.1251120542362e+15,1.9861165393659e+19,179834,10069858.206828,3.1115149944466e+17
1.3,2.7945330563757e+14,4.9400300448286e+18,1.1263171451589e+15,1.9882194611793e+19,179903,10080813.81544,3.1149002000545e+17
1.4,2.7977048064304e+14,4.945578167786e+18,1.1275939050966e+15,1.9904483917862e+19,179960,10092420.115767,3.1184864648016e+17
1.5,2.8010450097289e+14,4.9514233679069e+18,1.1289385084306e+15,1.9927967320816e+19,180012,10104642.239884,3.1222630147465e+17
1.6,2.8045440321716e+14,4.9575489742885e+18,1.130347079704e+15,1.995257789364e+19,180048,10117444.880694,3.1262189402451e+17
1.7,2.8081921290142e+14,4.9639381065848e+18,1.1318156986604e+15,1.9978247863107e+19,180051,10130792.33763,3.1303432100751e+17
1.8,2.8119794626524e+14,4.97057370618e+18,1.1333404074289e+15,2.0004908735295e+19,180242,10144648.580248,3.1346246910837e+17
1.9,2.8158961080724e+14,4.9774385451195e+18,1.1349172126907e+15,2.0032491331305e+19,180224,10158977.265952,3.139052153666e+17
2,2.8199320654876e+14,4.9845152504421e+18,1.1365420908066e+15,2.0060925885655e+19,180354,10173741.790448,3.1436142873535e+17
2.1,2.8240772884205e+14,4.9917863523721e+18,1.1382109991419e+15,2.0090142240203e+19,180309,10188905.386143,3.1482997312205e+17
2.2,2.8283216977068e+14,4.9992343094285e+18,1.1399198816509e+15,2.0120069944498e+19,180250,10204431.172691,3.1530970895002e+17
2.3,2.8326551864895e+14,5.0068415173666e+18,1.1416646709354e+15,2.0150638292431e+19,180348,10220282.176156,3.1579949375081e+17
2.4,2.8370676344475e+14,5.0145903339863e+18,1.1434412939776e+15,2.018177642213e+19,180456,10236421.379854,3.1629818373503e+17
2.5,2.8415489713429e+14,5.0224631919968e+18,1.1452456976397e+15,2.0213413768565e+19,180489,10252811.953666,3.1680464087811e+17
2.6,2.8460891272018e+14,5.0304425113932e+18,1.1470738287702e+15,2.0245479713361e+19,180534,10269417.077932,3.1731772747848e+17
2.7,2.8506780730991e+14,5.038510771116e+18,1.1489216504421e+15,2.0277903870815e+19,180607,10286200.087136,3.1783631059772e+17
2.8,2.8553058238575e+14,5.0466505127522e+18,1.1507851431714e+15,2.031061610451e+19,180588,10303124.479985,3.183592623716e+17
2.9,2.8599624851099e+14,5.054844425666e+18,1.1526603238011e+15,2.0343546868522e+19,180624,10320154.092198,3.1888546534946e+17
3,2.8646382478409e+14,5.0630753348486e+18,1.1545432433209e+15,2.037662715905e+19,180612,10337253.072253,3.1941381174462e+17
3.1,2.8693234023433e+14,5.0713262266116e+18,1.1564299924842e+15,2.040978861768e+19,180671,10354385.934046,3.1994320506149e+17
3.2,2.8740083671117e+14,5.0795802988486e+18,1.158316713443e+15,2.0442963733365e+19,180707,10371517.65957,3.2047256326846e+17
3.3,2.8786837074036e+14,5.0878209929035e+18,1.1601996071925e+15,2.0476085970281e+19,180720,10388613.763534,3.2100082079443e+17
3.4,2.8833400969959e+14,5.0960319276482e+18,1.1620749183041e+15,2.0509089504385e+19,180748,10405640.160941,3.2152692443704e+17
3.5,2.8879683875121e+14,5.1041970200164e+18,1.16393896266e+15,2.054190970575e+19,180734,10422563.410148,3.2204984087322e+17
3.6,2.8925596238141e+14,5.1123005139196e+18,1.1657881337681e+15,2.0574483256131e+19,180836,10439350.773535,3.2256855853361e+17
3.7,2.8971050301294e+14,5.1203269536408e+18,1.1676188971657e+15,2.0606748041959e+19,180834,10455970.162645,3.230820859076e+17
3.8,2.9015960331785e+14,5.1282612247955e+18,1.169427799736e+15,2.0638643318861e+19,180814,10472390.221558,3.2358945411945e+17
3.9,2.9060242483192e+14,5.1360885312558e+18,1.1712114641452e+15,2.0670109619139e+19,180791,10488580.279542,3.2408971546517e+17
4,2.910381504002e+14,5.143794437156e+18,1.1729665986977e+15,2.0701088920652e+19,180915,10504510.436343,3.2458194604809e+17
4.1,2.9146598605896e+14,5.1513649005961e+18,1.1746900049249e+15,2.0731524782245e+19,180833,10520151.630478,3.2506524788889e+17
4.2,2.9188516244923e+14,5.1587862999188e+18,1.1763785832884e+15,2.0761362449406e+19,180930,10535475.69224,3.255387505636e+17
4.3,2.9229493256297e+14,5.1660453939682e+18,1.1780293241265e+15,2.079054869479e+19,180854,10550455.262149,3.2600160868359e+17
4.4,2.9269457571508e+14,5.1731293921897e+18,1.1796393236547e+15,2.0819032099819e+19,180900,10565063.933333,3.264530062952e+17
4.5,2.9308339678662e+14,5.1800259421042e+18,1.1812057809016e+15,2.0846763004199e+19,180926,10579276.224806,3.2689215605398e+17
4.6,2.9346072430691e+14,5.1867230981429e+18,1.1827259902128e+15,2.0873693383057e+19,180994,10593067.520414,3.2731829733816e+17
4.7,2.9382592003728e+14,5.1932094874021e+18,1.1841973793624e+15,2.0899777507667e+19,180990,10606414.39881,3.2773070644467e+17
4.8,2.9417837086173e+14,5.1994741727648e+18,1.1856174774279e+15,2.0924971401171e+19,181004,10619294.361603,3.2812868818914e+17
4.9,2.9451748933014e+14,5.2055066614533e+18,1.1869839168738e+15,2.0949232871811e+19,181035,10631685.848002,3.2851157635839e+17
5,2.9484271859704e+14,5.2112969911924e+18,1.188294453218e+15,2.0972521856666e+19,181098,10643568.406467,3.2887873901428e+17
5.1,2.9515353207521e+14,5.2168357273016e+18,1.1895469638175e+15,2.0994800411854e+19,181057,10654922.690874,3.2922957837524e+17
5.2,2.9544942906755e+14,5.2221138866653e+18,1.1907394304035e+15,2.1016032408416e+19,181109,10665730.306153,3.2956352604666e+17
5.3,2.9572994190146e+14,5.2271230632723e+18,1.1918699675104e+15,2.103618403346e+19,181113,10675974.059051,3.2988005076911e+17
5.4,2.9599462892109e+14,5.2318553080591e+18,1.1929367945957e+15,2.1055223310936e+19,181041,10685637.717221,3.3017865097459e+17
5.5,2.9624307993307e+14,5.2363032236828e+18,1.1939382577562e+15,2.1073120480235e+19,181149,10694706.198437,3.3045886063297e+17
5.6,2.9647491291926e+14,5.2404599091056e+18,1.1948728166227e+15,2.1089847774891e+19,181080,10703165.458572,3.3072024579064e+17
5.7,2.9668977564561e+14,5.244318988401e+18,1.1957390507836e+15,2.1105379537755e+19,181169,10711002.548565,3.3096240633079e+17
5.8,2.968873440982e+14,5.2478745843058e+18,1.196535653516e+15,2.1119692115006e+19,181164,10718205.559909,3.3118497428899e+17
5.9,2.9706732290831e+14,5.2511213268429e+18,1.1972614334943e+15,2.1132763890894e+19,181181,10724763.641353,3.3138761436919e+17
6,2.9722944506486e+14,5.2540543476151e+18,1.1979153136447e+15,2.1144575264927e+19,181188,10730666.986337,3.3157002355567e+17
6.1,2.9737347194752e+14,5.2566692820361e+18,1.1984963312759e+15,2.1155108660825e+19,181171,10735906.836608,3.317319312246e+17
6.2,2.9749918829774e+14,5.2589621819403e+18,1.1990036180442e+15,2.1164348177819e+19,181203,10740475.306037,3.3187309370016e+17
6.3,2.9760641917866e+14,5.2609298092816e+18,1.1994364673743e+15,2.1172280761176e+19,181173,10744365.965635,3.3199331233113e+17
6.4,2.9769500106136e+14,5.2625691357843e+18,1.1997942194592e+15,2.117889420758e+19,181231,10747572.843743,3.3209240259749e+17
6.5,2.9776480325068e+14,5.2638777131208e+18,1.2000763464198e+15,2.1184178640271e+19,181281,10750091.162744,3.3217021687422e+17
